,Genre,Metascore,Released,Title,imdbID,imdbRating,imdbVotes
17,"Action, Adventure, Comedy, Sci-Fi",58,25 May 2012,Men in Black 3,tt1409024,6.8,"306,988"
18,"Action, Adventure, Drama, History, Romance",53,14 May 2010,Robin Hood,tt0955308,6.7,"237,961"
19,"Action, Adventure, Sci-Fi",35,24 Jun 2009,Transformers: Revenge of the Fallen,tt1055369,6.0,"362,775"
20,"Action, Adventure, Sci-Fi, Thriller",58,26 May 2006,X-Men: The Last Stand,tt0376994,6.7,"448,900"
21,"Action, Adventure, Sci-Fi, Thriller",41,18 May 2012,Battleship,tt1440129,5.8,"224,546"
22,"Action, Adventure, Drama, Romance",81,14 Dec 2005,King Kong,tt0360717,7.2,"363,601"
23,"Adventure, Family, Fantasy",51,07 Dec 2007,The Golden Compass,tt0385752,6.1,"166,554"
24,"Action, Adventure, Sci-Fi",62,03 May 2013,Iron Man 3,tt1300854,7.2,"678,031"
25,"Adventure, Family, Fantasy",44,08 Mar 2013,Oz the Great and Powerful,tt1623205,6.3,"191,273"
26,"Action, Adventure, Thriller",81,09 Nov 2012,Skyfall,tt1074638,7.8,"588,746"
27,"Animation, Adventure, Comedy, Family, Sport",57,24 Jun 2011,Cars 2,tt1216475,6.2,"137,079"
28,"Action, Adventure, Sci-Fi",39,17 Jun 2011,Green Lantern,tt1133985,5.5,"250,387"
29,"Adventure, Family, Fantasy",53,05 Mar 2010,Alice in Wonderland,tt1014759,6.5,"355,570"
30,"Action, Adventure, Fantasy",50,28 May 2010,Prince of Persia: The Sands of Time,tt0473075,6.6,"252,912"
31,"Animation, Adventure, Comedy, Family, Fantasy",92,18 Jun 2010,Toy Story 3,tt0435761,8.3,"673,530"
32,"Action, Adventure, Fantasy, Sci-Fi",49,17 Dec 2010,TRON: Legacy,tt1104001,6.8,"293,825"
33,"Action, Adventure, Sci-Fi",49,13 Nov 2009,2012,tt1190080,5.8,"325,318"
34,"Action, Adventure, Sci-Fi",49,21 May 2009,Terminator Salvation,tt0438488,6.6,"317,855"
35,"Action, Adventure, Sci-Fi",83,30 Jun 2004,Spider-Man 2,tt0316654,7.3,"494,386"
36,"Drama, Romance",75,19 Dec 1997,Titanic,tt0120338,7.8,"946,032"
37,"Adventure, Fantasy",51,01 Mar 2013,Jack the Giant Slayer,tt1351685,6.3,"122,169"
38,"Action, Adventure, Sci-Fi",42,29 Jun 2011,Transformers: Dark of the Moon,tt1399103,6.3,"364,344"
39,"Action, Adventure, Sci-Fi",65,12 Jul 2013,Pacific Rim,tt1663662,6.9,"440,522"
40,"Action, Adventure, Sci-Fi",72,16 May 2013,Star Trek Into Darkness,tt1408101,7.7,"443,815"
41,"Drama, Romance",55,10 May 2013,The Great Gatsby,tt1343092,7.3,"427,079"
42,"Action, Adventure, Horror, Sci-Fi, Thriller",63,21 Jun 2013,World War Z,tt0816711,7.0,"548,543"
43,"Action, Adventure, Sci-Fi",79,02 May 2008,Iron Man,tt0371746,7.9,"842,429"
44,"Animation, Adventure, Comedy, Family, Fantasy",69,22 Jun 2012,Brave,tt1217209,7.1,"335,866"
45,"Action, Adventure",65,22 May 2008,Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,6.2,"389,431"
46,"Action, Crime, Drama, Thriller",84,18 Jul 2008,The Dark Knight,tt0468569,9.0,"2,039,506"
47,"Adventure, Drama, Family, Fantasy, Mystery, Romance",83,23 Nov 2011,Hugo,tt0970179,7.5,"283,205"
48,"Animation, Adventure, Family, Sci-Fi",95,27 Jun 2008,WALL·E,tt0910970,8.4,"893,841"
49,"Action, Comedy, Crime, Thriller",44,10 Aug 2007,Rush Hour 3,tt0293564,6.2,"140,437"
50,"Adventure, Family, Fantasy",75,09 Dec 2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0363771,6.9,"337,604"
51,"Action, Adventure, Sci-Fi, Thriller",32,07 Aug 2009,G.I. Joe: The Rise of Cobra,tt1046173,5.8,"190,369"
52,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",56,27 Mar 2009,Monsters vs. Aliens,tt0892782,6.5,"134,347"
53,"Animation, Adventure, Comedy, Family",88,29 May 2009,Up,tt1049413,8.2,"837,056"
54,"Action, Comedy, Sci-Fi, Western",38,30 Jun 1999,Wild Wild West,tt0120891,4.9,"143,568"
55,"Action, Adventure, Sci-Fi, Thriller",56,28 Jul 1995,Waterworld,tt0114898,6.2,"165,240"
56,"Action, Adventure, Fantasy",54,08 Nov 2013,Thor: The Dark World,tt1981115,7.0,"526,911"
57,"Action, Adventure, Drama, Fantasy",57,01 Jun 2012,Snow White and the Huntsman,tt1735898,6.1,"257,085"
58,"Action, Adventure, Sci-Fi",57,07 May 2010,Iron Man 2,tt1228705,7.0,"642,092"
59,"Animation, Adventure, Comedy, Family, Fantasy, Musical",61,10 Nov 2004,The Polar Express,tt0338348,6.6,"154,686"
60,"Action, Adventure, Fantasy",35,07 May 2004,Van Helsing,tt0338526,6.1,"227,189"
61,"Action, Sci-Fi",66,02 Jul 2003,Terminator 3: Rise of the Machines,tt0181852,6.3,"347,354"
62,"Animation, Adventure, Comedy, Family, Fantasy",72,02 Nov 2012,Wreck-It Ralph,tt1772341,7.7,"339,474"
63,"Animation, Action, Adventure, Family, Fantasy",74,26 Mar 2010,How to Train Your Dragon,tt0892769,8.1,"603,778"
64,"Animation, Adventure, Comedy, Family, Fantasy, Romance",58,21 May 2010,Shrek Forever After,tt0892791,6.3,"165,386"
65,"Action, Sci-Fi, Thriller, Western",50,29 Jul 2011,Cowboys & Aliens,tt0409847,6.0,"194,940"
66,"Action, Crime, Thriller",61,24 May 2013,Fast & Furious 6,tt1905041,7.1,"344,953"
67,"Action, Adventure, Sci-Fi",65,03 Jun 2011,X-Men: First Class,tt1270798,7.7,"601,064"
68,"Action, Adventure, Sci-Fi, Thriller",74,16 Jul 2010,Inception,tt1375666,8.8,"1,815,114"
69,"Action, Adventure, Family, Fantasy",46,14 Jul 2010,The Sorcerer's Apprentice,tt0963966,6.1,"142,888"
70,"Drama, Fantasy, Romance",70,25 Dec 2008,The Curious Case of Benjamin Button,tt0421715,7.8,"535,098"
71,"Animation, Adventure, Comedy, Family, Fantasy",58,18 May 2007,Shrek the Third,tt0413267,6.1,"252,476"
72,"Action, Adventure, Drama, Thriller",50,12 May 2006,Poseidon,tt0409182,5.6,"91,548"
73,"Adventure, Family, Fantasy",53,10 Dec 2010,The Chronicles of Narnia: The Voyage of the Dawn Treader,tt0980970,6.3,"128,300"
74,"Action, Drama, History, Romance, War",44,25 May 2001,Pearl Harbor,tt0213149,6.1,"291,549"
75,"Action, Adventure, Sci-Fi",61,03 Jul 2007,Transformers,tt0418279,7.1,"567,235"
76,"Animation, Adventure, Comedy, Family, Fantasy, Musical",74,27 Nov 2013,Frozen,tt2294629,7.5,"512,783"
77,"Action, Drama, Thriller",52,28 Jun 2013,White House Down,tt2334879,6.4,"190,704"
78,"Action, Adventure, Fantasy",37,30 Mar 2012,Wrath of the Titans,tt1646987,5.7,"171,346"
79,"Animation, Action, Adventure, Comedy, Family, Fantasy",67,26 May 2011,Kung Fu Panda 2,tt1302011,7.2,"225,823"
80,"Animation, Adventure, Family, Sci-Fi",49,11 Mar 2011,Mars Needs Moms,tt1305591,5.4,"19,712"
